,brand,model,year,price,color,condition,transmission,fuel_type,mileage
91,Toyota,Corolla,2016,"$15,998.00",Blue,Used,Automatic,Other,"85,567"
92,Kia,Optima,2016,"$14,988.00",White,Used,Automatic,Gasoline,"98,400"
93,Jeep,Patriot,2013,"$5,495.00",Silver,Used,Automatic,Gasoline,"194,720"
94,Honda,Odyssey,2017,"$25,595.00",Other,Used,Automatic,Other,"107,049"
95,Toyota,RAV4,2017,"$21,900.00",Grey,Used,NaN,Gasoline,"33,745"
96,Mazda,Other,2006,"$2,495.00",Grey,Used,Automatic,Gasoline,"287,100"
97,Toyota,Corolla,2017,"$16,900.00",White,Used,NaN,Gasoline,"95,547"
98,Volkswagen,Jetta,2010,"$3,495.00",Black,Used,Manual,Gasoline,"185,450"
99,Audi,A8,2014,"$25,999.00",Black,Used,NaN,Gasoline,"122,408"
100,Jeep,Wrangler,2016,"$29,999.00",Blue,Used,NaN,Gasoline,"130,000"
101,Nissan,Versa,2014,"$8,595.00",Other,Used,Automatic,Other,"122,179"
102,Chevrolet,Silverado 2500,2019,"$80,000.00",White,Used,Automatic,NaN,"85,000"
103,Toyota,RAV4,2018,"$25,400.00",Black,Used,NaN,Gasoline,"50,137"
104,Other,Other,2012,"$4,995.00",Gold,Used,Automatic,Other,"210,500"
105,Mazda,3,2012,"$2,500.00",White,Used,NaN,NaN,"220,000"
106,Ford,Edge,2017,"$22,498.00",Other,Used,Automatic,Other,"81,718"
107,Hyundai,Santa Fe,2017,"$22,998.00",Other,Used,Automatic,Other,"74,486"
108,Toyota,Venza,2016,"$20,998.00",Other,Used,Automatic,Other,"69,224"
109,Honda,CR-V,2016,"$18,998.00",Other,Used,Automatic,Other,"72,897"
110,Toyota,RAV4,2017,"$19,998.00",Black,Used,Automatic,Other,"93,245"
111,Toyota,Camry,2016,"$16,998.00",Black,Used,Automatic,Other,"93,966"
112,Mazda,CX-3,2018,"$17,498.00",Other,Used,Automatic,Other,"63,156"
113,Nissan,Rogue,2017,"$16,498.00",Other,Used,Automatic,Other,"72,081"
114,Hyundai,Sonata,2018,"$16,399.00",Other,Used,Automatic,Other,"67,231"
115,Infiniti,QX70,2017,"$39,900.00",Black,Used,Automatic,Gasoline,"52,000"
116,Toyota,Corolla,2017,"$16,400.00",Blue,Used,NaN,Gasoline,"45,079"
117,Kia,Forte,2013,"$3,995.00",Silver,Used,Automatic,Gasoline,"221,150"
118,Toyota,Highlander,2015,"$27,400.00",Gold,Used,NaN,Gasoline,"93,005"
119,Toyota,RAV4,2017,"$19,900.00",Grey,Used,NaN,Gasoline,"66,128"
120,Mazda,Mazda3 Sport,2020,$230.00,NaN,Lease Takeover,Automatic,Gasoline,"10,600"
121,Hyundai,Genesis Coupe,2010,"$5,995.00",Grey,Used,Automatic,Gasoline,"245,800"
122,Hyundai,Santa Fe,2014,"$11,595.00",Silver,Used,Automatic,Other,"111,135"
123,Toyota,Corolla,2017,"$14,800.00",Silver,Used,NaN,Gasoline,"61,691"
124,Ram,1500,2013,"$14,995.00",Red,Used,Automatic,Gasoline,"250,900"
125,Ford,F-250,1988,NaN,Red,Used,Manual,Gasoline,"109,000"
126,Ford,Escape,2014,"$9,995.00",White,Used,Automatic,Gasoline,"135,400"
127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134,Kia,Optima,2014,"$10,688.00",White,Used,Automatic,Gasoline,"81,855"
135,Ford,Fusion,2018,"$17,492.00",Silver,Used,Automatic,Other,"40,969"
136,Ford,Escape,2013,"$8,495.00",Silver,Used,Automatic,Gasoline,"177,139"
137,Hyundai,Elantra,2011,"$5,000.00",White,Used,Automatic,Gasoline,"240,000"
138,Buick,Enclave,2015,"$19,995.00",Black,Used,Automatic,Gasoline,"166,800"
139,Hyundai,Elantra,2008,"$3,000.00",Red,Used,Automatic,Gasoline,"190,000"
140,Toyota,RAV4,2017,"$21,900.00",Grey,Used,NaN,Gasoline,"33,745"
141,Mazda,Other,2006,"$2,495.00",Grey,Used,Automatic,Gasoline,"287,100"
142,Toyota,Corolla,2017,"$16,900.00",White,Used,NaN,Gasoline,"95,547"
143,Volkswagen,Jetta,2010,"$3,495.00",Black,Used,Manual,Gasoline,"185,450"
144,Audi,A8,2014,"$25,999.00",Black,Used,NaN,Gasoline,"122,408"
145,Jeep,Wrangler,2016,"$29,999.00",Blue,Used,NaN,Gasoline,"130,000"
146,Nissan,Versa,2014,"$8,595.00",Other,Used,Automatic,Other,"122,179"
147,Chevrolet,Silverado 2500,2019,"$80,000.00",White,Used,Automatic,NaN,"85,000"
148,Toyota,RAV4,2018,"$25,400.00",Black,Used,NaN,Gasoline,"50,137"
149,Other,Other,2012,"$4,995.00",Gold,Used,Automatic,Other,"210,500"
150,Mazda,3,2012,"$2,500.00",White,Used,NaN,NaN,"220,000"
151,Ford,Edge,2017,"$22,498.00",Other,Used,Automatic,Other,"81,718"
152,Hyundai,Santa Fe,2017,"$22,998.00",Other,Used,Automatic,Other,"74,486"
153,Toyota,Venza,2016,"$20,998.00",Other,Used,Automatic,Other,"69,224"
154,Honda,CR-V,2016,"$18,998.00",Other,Used,Automatic,Other,"72,897"
155,Toyota,RAV4,2017,"$19,998.00",Black,Used,Automatic,Other,"93,245"
156,Toyota,Camry,2016,"$16,998.00",Black,Used,Automatic,Other,"93,966"
157,Mazda,CX-3,2018,"$17,498.00",Other,Used,Automatic,Other,"63,156"
158,Nissan,Rogue,2017,"$16,498.00",Other,Used,Automatic,Other,"72,081"
159,Hyundai,Sonata,2018,"$16,399.00",Other,Used,Automatic,Other,"67,231"
160,Infiniti,QX70,2017,"$39,900.00",Black,Used,Automatic,Gasoline,"52,000"
161,Toyota,Corolla,2017,"$16,400.00",Blue,Used,NaN,Gasoline,"45,079"
162,Kia,Forte,2013,"$3,995.00",Silver,Used,Automatic,Gasoline,"221,150"
163,Toyota,Highlander,2015,"$27,400.00",Gold,Used,NaN,Gasoline,"93,005"
164,Toyota,RAV4,2017,"$19,900.00",Grey,Used,NaN,Gasoline,"66,128"
165,Mazda,Mazda3 Sport,2020,$230.00,NaN,Lease Takeover,Automatic,Gasoline,"10,600"
166,Hyundai,Genesis Coupe,2010,"$5,995.00",Grey,Used,Automatic,Gasoline,"245,800"
167,Hyundai,Santa Fe,2014,"$11,595.00",Silver,Used,Automatic,Other,"111,135"
168,Toyota,Corolla,2017,"$14,800.00",Silver,Used,NaN,Gasoline,"61,691"
169,Ram,1500,2013,"$14,995.00",Red,Used,Automatic,Gasoline,"250,900"
170,Ford,F-250,1988,NaN,Red,Used,Manual,Gasoline,"109,000"
171,Ford,Escape,2014,"$9,995.00",White,Used,Automatic,Gasoline,"135,400"
172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
178,Honda,CR-V,2017,"$20,988.00",Grey,Used,Automatic,Gasoline,"51,579"
179,Chevrolet,Cruze,2019,"$16,880.00",Black,Used,Automatic,Gasoline,"55,343"
180,Toyota,RAV4,2017,"$18,998.00",Black,Used,Automatic,Other,"76,091"
181,Jeep,Patriot,2013,"$5,495.00",Silver,Used,Automatic,Gasoline,"194,720"
182,Pontiac,Vibe,2009,"$5,999.00",Red,Used,Automatic,Gasoline,"191,101"
