,brand,model,year,price,color,condition,transmission,fuel_type,mileage
326,Chevrolet,Silverado 2500,2019,"$80,000.00",White,Used,Automatic,NaN,"85,000"
327,Toyota,RAV4,2018,"$25,400.00",Black,Used,NaN,Gasoline,"50,137"
328,Other,Other,2012,"$4,995.00",Gold,Used,Automatic,Other,"210,500"
329,Mazda,3,2012,"$2,500.00",White,Used,NaN,NaN,"220,000"
330,Ford,Edge,2017,"$22,498.00",Other,Used,Automatic,Other,"81,718"
331,Hyundai,Santa Fe,2017,"$22,998.00",Other,Used,Automatic,Other,"74,486"
332,Toyota,Venza,2016,"$20,998.00",Other,Used,Automatic,Other,"69,224"
333,Honda,CR-V,2016,"$18,998.00",Other,Used,Automatic,Other,"72,897"
334,Toyota,RAV4,2017,"$19,998.00",Black,Used,Automatic,Other,"93,245"
335,Toyota,Camry,2016,"$16,998.00",Black,Used,Automatic,Other,"93,966"
336,Mazda,CX-3,2018,"$17,498.00",Other,Used,Automatic,Other,"63,156"
337,Nissan,Rogue,2017,"$16,498.00",Other,Used,Automatic,Other,"72,081"
338,Hyundai,Sonata,2018,"$16,399.00",Other,Used,Automatic,Other,"67,231"
339,Infiniti,QX70,2017,"$39,900.00",Black,Used,Automatic,Gasoline,"52,000"
340,Toyota,Corolla,2017,"$16,400.00",Blue,Used,NaN,Gasoline,"45,079"
341,Kia,Forte,2013,"$3,995.00",Silver,Used,Automatic,Gasoline,"221,150"
342,Toyota,Highlander,2015,"$27,400.00",Gold,Used,NaN,Gasoline,"93,005"
343,Toyota,RAV4,2017,"$19,900.00",Grey,Used,NaN,Gasoline,"66,128"
344,Mazda,Mazda3 Sport,2020,$230.00,NaN,Lease Takeover,Automatic,Gasoline,"10,600"
345,Hyundai,Genesis Coupe,2010,"$5,995.00",Grey,Used,Automatic,Gasoline,"245,800"
346,Hyundai,Santa Fe,2014,"$11,595.00",Silver,Used,Automatic,Other,"111,135"
347,Toyota,Corolla,2017,"$14,800.00",Silver,Used,NaN,Gasoline,"61,691"
348,Ram,1500,2013,"$14,995.00",Red,Used,Automatic,Gasoline,"250,900"
349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
